Timestamp,SourceIP,DestinationIP,Protocol,PacketLength,InfoPacket,Signature
2023-11-24 09:55:27.556819,172.16.1.135,172.16.1.134,ntlmssp,279,172.16.1.135:445 -> 172.16.1.134:33887 ntlmssp Length=279,172.16.1.135_172.16.1.134/ntlmssp/Detect
2023-11-24 09:55:27.567333,172.16.1.134,172.16.1.135,ntlmssp,272,172.16.1.134:33887 -> 172.16.1.135:445 ntlmssp Length=272,172.16.1.134_172.16.1.135/ntlmssp/Detect
2023-11-24 09:55:27.567966,172.16.1.135,172.16.1.134,spnego,151,172.16.1.135:445 -> 172.16.1.134:33887 spnego Length=151,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:55:27.577038,172.16.1.134,172.16.1.135,smb2,180,172.16.1.134:33887 -> 172.16.1.135:445 smb2 Length=180,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.577700,172.16.1.135,172.16.1.134,smb2,150,172.16.1.135:445 -> 172.16.1.134:33887 smb2 Length=150,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.588047,172.16.1.134,172.16.1.135,smb2,262,172.16.1.134:33887 -> 172.16.1.135:445 smb2 Length=262,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.588659,172.16.1.135,172.16.1.134,smb2,143,172.16.1.135:445 -> 172.16.1.134:33887 smb2 Length=143,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.604280,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:33887 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.605001,172.16.1.134,172.16.1.135,tcp,74,172.16.1.134:45399 -> 172.16.1.135:445 tcp Length=74,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.605206,172.16.1.135,172.16.1.134,tcp,74,172.16.1.135:445 -> 172.16.1.134:45399 tcp Length=74,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.605207,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:45399 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.608585,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:33887 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.608586,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:33887 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.610378,172.16.1.134,172.16.1.135,smb,139,172.16.1.134:45399 -> 172.16.1.135:445 smb Length=139,172.16.1.134_172.16.1.135/smb/Detect
2023-11-24 09:55:27.612102,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:45399 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.612107,172.16.1.135,172.16.1.134,spnego,272,172.16.1.135:445 -> 172.16.1.134:45399 spnego Length=272,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:55:27.613279,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:45399 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.636097,172.16.1.134,172.16.1.135,smb2,278,172.16.1.134:45399 -> 172.16.1.135:445 smb2 Length=278,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.637188,172.16.1.135,172.16.1.134,spnego,272,172.16.1.135:445 -> 172.16.1.134:45399 spnego Length=272,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:55:27.644144,172.16.1.134,172.16.1.135,ntlmssp,236,172.16.1.134:45399 -> 172.16.1.135:445 ntlmssp Length=236,172.16.1.134_172.16.1.135/ntlmssp/Detect
2023-11-24 09:55:27.644972,172.16.1.135,172.16.1.134,ntlmssp,279,172.16.1.135:445 -> 172.16.1.134:45399 ntlmssp Length=279,172.16.1.135_172.16.1.134/ntlmssp/Detect
2023-11-24 09:55:27.658332,172.16.1.134,172.16.1.135,ntlmssp,272,172.16.1.134:45399 -> 172.16.1.135:445 ntlmssp Length=272,172.16.1.134_172.16.1.135/ntlmssp/Detect
2023-11-24 09:55:27.658689,172.16.1.135,172.16.1.134,spnego,151,172.16.1.135:445 -> 172.16.1.134:45399 spnego Length=151,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:55:27.671928,172.16.1.134,172.16.1.135,smb2,180,172.16.1.134:45399 -> 172.16.1.135:445 smb2 Length=180,172.16.1.134_172.16.1.135/smb2/Detect
